"Kvittonamn","Varugrupp","Pris","Volym","AntalSålda","Alkoholhalt","APK","AntalLiterSålda"
"Peach Pearl 0% 750 ml","Alkoholfritt",29,750,9351,0,0,7013.25
"Kiviks Herrgårdscid Äpple 0,3% 750","Alkoholfritt",19.9,750,40,0.3,0.113065326633166,30
"Stowford Press  0,5% 330 ml","Alkoholfritt",13.9,330,104554,0.5,0.118705035971223,34502.82
"Saxhyttegubbens Blåbär 0,1% 330 ml","Alkoholfritt",69.9,330,27262,0.1,0.00472103004291845,8996.46
"Briska Päron 0,3% 330","Alkoholfritt",10.9,330,192716,0.3,0.0908256880733945,63596.28
"Nigrum 0,1% 375 ml","Alkoholfritt",35,375,15156,0.1,0.0107142857142857,5683.5
"Jus de Pommes Artis Pétill 0,1% 12","Alkoholfritt",39,750,258556,0.1,0.0192307692307692,193917
"Äppelmust Ingrid Marie 0% 375 ml","Alkoholfritt",38,375,16159.0133333333,0,0,6059.62999999999
"Roomi Sv vinbär - Aronia 0,5% 750ml","Alkoholfritt",69,750,7968,0.5,0.0543478260869565,5976
"Briska Rosé 0,5% 330 ml","Alkoholfritt",10.9,330,203048,0.5,0.151376146788991,67005.84
"Blue Ganjal 0,0% 375 ml","Alkoholfritt",79,375,6809.01333333333,0,0,2553.38
"Nygårda Julmust Romfat 0,3% 750 ml","Alkoholfritt",29.9,750,22,0.3,0.0752508361204013,16.5
"Gripsholms Slottsmust 13 375ml","Alkoholfritt",45,375,25.0133333333333,0,0,9.37999999999999
"Golden Ganjal 0% 200 ml","Alkoholfritt",99,200,1299,0,0,259.8
"Maglehem n:o 4 0% 630 ml","Alkoholfritt",48,630,44,0,0,27.72
"Grönsöömust 14 0% 750 ml","Alkoholfritt",49,750,225,0,0,168.75
"Kiviks Årets Skörd Svinab 14 0% 750","Alkoholfritt",43,750,74,0,0,55.5
"Värmdö Rein Belle Boskoop 14 0% 750","Alkoholfritt",59,750,36,0,0,27
"Verjus de Cigare 0% 14 750 ml","Alkoholfritt",89,750,7,0,0,5.25
"Kullamust Tre Skåningar 0% 14 3x250","Alkoholfritt",69,750,262,0,0,196.5
"Somersby Apple Cider 0% 330 ml","Alkoholfritt",12.9,330,214967,0,0,70939.11
"Cuvée September Äppelmust 0% 375 ml","Alkoholfritt",38,375,131.013333333333,0,0,49.1299999999999
"Kiviks Skepparp Eko Äppel 15 0% 750","Alkoholfritt",43,750,29986,0,0,22489.5
"Kiviks Pärlande Eko Äppel 15 0% 750","Alkoholfritt",43,750,23026,0,0,17269.5
"Grönsöömust 15 0% 750ml","Alkoholfritt",49,750,19296,0,0,14472
"Maglehem n:o 4 15 0% 630 ml","Alkoholfritt",48,630,4374,0,0,2755.62
"Kullamust Pr Tre sort äppl 0% 3x250","Alkoholfritt",52,750,8609,0,0,6456.75
"Ega Vindr Granatäpp Rooibos 0% 750","Alkoholfritt",59,750,13086,0,0,9814.5
"Perlant Jus Pommes Sydre 0% 750 ml","Alkoholfritt",65,750,2727,0,0,2045.25
"Jus Poires Artisanal Ribau 0,2% 750","Alkoholfritt",42,750,13257,0.2,0.0357142857142857,9942.75
"Backyard Apple Dry Hopped 0% 330","Alkoholfritt",13.9,330,52094,0,0,17191.02
"Carlsberg Non-Alcoholic 0,5% 330","Alkoholfritt",11.5,330,499130,0.5,0.143478260869565,164712.9
"Weihenstephaner Hefeweiss 0.4% 500","Alkoholfritt",13.9,500,83478,0.4,0.143884892086331,41739
"Störtebeker 1402 0,5% 330ml","Alkoholfritt",11.9,330,140404,0.5,0.138655462184874,46333.32
"Nanny State 0,5% 330 ml","Alkoholfritt",14.9,330,243221,0.5,0.110738255033557,80262.93
"Estrella Damm Non-Alco 0% brk 330ml","Alkoholfritt",11.4,330,297187,0,0,98071.71
"Staropramen Non-Alco 0,5% 330 ml","Alkoholfritt",12.6,330,259071,0.5,0.130952380952381,85493.43
"Mariestads Alkoholfri 0,5% 330 ml","Alkoholfritt",10.9,330,369367,0.5,0.151376146788991,121891.11
"Störtebek Bernstein-Weizen 0,5% 330","Alkoholfritt",11.9,330,3,0.5,0.138655462184874,0.99
"Mikkeller Drink'in The Sun 0,3% 330","Alkoholfritt",16.9,330,420407,0.3,0.0585798816568047,138734.31
"Eriksberg Julbordslager 0,5% 330 ml","Alkoholfritt",11.9,330,9349,0.5,0.138655462184874,3085.17
"Mikkell Drink'in The Snow 0,3% 330","Alkoholfritt",16.9,330,49121,0.3,0.0585798816568047,16209.93
"Eriksberg Hovmästarlager 0,5% 330","Alkoholfritt",11.9,330,160499,0.5,0.138655462184874,52964.67
"Three Hearts Green Eko Lag 0,5% 330","Alkoholfritt",9.9,330,41994,0.5,0.166666666666667,13858.02
"Clausthaler Zwickl 0,4% brk 500ml","Alkoholfritt",14.9,500,63719,0.4,0.134228187919463,31859.5
"Paulaner Hefe Wessbier 0,5% 500 ml","Alkoholfritt",13.9,500,7950,0.5,0.179856115107914,3975
"Nils Oscar Alkoholfri 0,4% 330ml","Alkoholfritt",15.9,330,206141,0.4,0.0830188679245283,68026.53
"Mikkeller Hallo Ich Bin BW 0,1% 330","Alkoholfritt",16.9,330,53755,0.1,0.0195266272189349,17739.15
"Backyard Brew Hi-Wheeler 0,5% 330","Alkoholfritt",12.4,330,137927,0.5,0.133064516129032,45515.91
"Mikkeller Ambler 0,3% 330 ml","Alkoholfritt",16.9,330,74426,0.3,0.0585798816568047,24560.58
"Paulaner Weiss Non Alcohol 0,5% 500","Alkoholfritt",13.9,500,24671,0.5,0.179856115107914,12335.5
"Mariestads Julöl Alko.fri 0,5% 330","Alkoholfritt",11.9,330,49121,0.5,0.138655462184874,16209.93
"Nils Oscar Alk.fri Julöl 0,4% 330","Alkoholfritt",15.9,330,42224,0.4,0.0830188679245283,13933.92
"Clausthaler Unfiltered 0,4% 330 ml","Alkoholfritt",11.9,330,8798,0.4,0.110924369747899,2903.34
"Källarback Mous Jordgubbsdr 0,0%750","Alkoholfritt",34,750,190886,0,0,143164.5
"Billabong Sparkling Brut 0,5% 750 m","Alkoholfritt",56,750,52733,0.5,0.0669642857142857,39549.75
"Chapel Hill Sparkl Co Doux 0,0% 750","Alkoholfritt",46,750,120382,0,0,90286.5
"Loxton Semillon Chardonnay 0,2% 750","Alkoholfritt",48,750,3,0.2,0.03125,2.25
"Natureo Free Muscat 0% 750 ml","Alkoholfritt",49,750,89912,0,0,67434
"Arc-en-Ciel Rosé Brut  0,5% 750","Alkoholfritt",49,750,74713,0.5,0.076530612244898,56034.75
"Arc-en-Ciel Rosé Brut 0,4% 200","Alkoholfritt",20,200,68029,0.4,0.04,13605.8
"Natureo Free Muscat 0% 375 ml","Alkoholfritt",28,375,47782,0,0,17918.25
"Natureo Free Syrah 0,5% 750 ml","Alkoholfritt",54,750,62683,0.5,0.0694444444444444,47012.25
"Natureo Free Sy CS Rosé 11 0,4% 750","Alkoholfritt",49,750,148,0.4,0.0612244897959184,111
"Freixenet Legero 0,0% 200 ml","Alkoholfritt",27,200,70932,0,0,14186.4
"Periquita Rosé Alcoho Free 0,5% 750","Alkoholfritt",49,750,63324,0.5,0.076530612244898,47493
"P.Lex Pure 0% 750 ml","Alkoholfritt",55,750,65069,0,0,48801.75
"Chill Out Delicate Fresh 0,5% 750ml","Alkoholfritt",45,750,25039,0.5,0.0833333333333333,18779.25
"Periquita Red Alcohol Free 0,3% 750","Alkoholfritt",49,750,45,0.3,0.0459183673469388,33.75
"Richard Juhlin Bl d Bl Non-A 0% 750","Alkoholfritt",89,750,151794,0,0,113845.5
"Rawson's Retreat CS 13 0,5% 750 ml","Alkoholfritt",55,750,83197,0.5,0.0681818181818182,62397.75
"Rawson's Retreat Sem Ch 13 0,5% 750","Alkoholfritt",55,750,60812,0.5,0.0681818181818182,45609
"Jacob's Creek UnVined Ries 0,5%","Alkoholfritt",59,750,82631,0.5,0.0635593220338983,61973.25
"Jacob's Creek UnVined Shiraz 0,5%","Alkoholfritt",59,750,71192,0.5,0.0635593220338983,53394
"Fru Nordin 0,1% 750ml","Alkoholfritt",55,750,72,0.1,0.0136363636363636,54
"Blossa Alkoholfri Glögg 14 0,5% 750","Alkoholfritt",33,750,13434,0.5,0.113636363636364,10075.5
"God Jul Glögg Vit 0,2% 750 ml","Alkoholfritt",25,750,9416,0.2,0.06,7062
"Jacob's Cr UnVined Rosé 14 0,5% 750","Alkoholfritt",59,750,38120,0.5,0.0635593220338983,28590
"GodDryck No1 Goda Bubblor 0,2% 750","Alkoholfritt",85,750,52916,0.2,0.0176470588235294,39687
"Les Pres Biologique Bl 0% 750 ml","Alkoholfritt",65,750,35040,0,0,26280
"Two Rivers 0,5% 750 ml","Alkoholfritt",49,750,22084,0.5,0.076530612244898,16563
"Saturnus 1893 Eko Glögg 0,3% 500ml","Alkoholfritt",29,500,1709,0.3,0.0517241379310345,854.5
"Rawsons Retreat Sparkling 0,5% 750","Alkoholfritt",55,750,65182,0.5,0.0681818181818182,48886.5
"Santa Digna Sauv Bl 15 0,5% 750ml","Alkoholfritt",59,750,48910,0.5,0.0635593220338983,36682.5
"Richard Juhlin Sparkl Rosé 0% 750","Alkoholfritt",89,750,31755,0,0,23816.25
"GodDryck No2 Goda Bub Rosé 0,2% 750","Alkoholfritt",85,750,52655,0.2,0.0176470588235294,39491.25
"Leitz 1,2 Zero Riesling 0,0% 750ml","Alkoholfritt",69,750,10007,0,0,7505.25
"Sanbitter Röd 0,2%  6 x 100 ml","Alkoholfritt",39,600,32599,0.2,0.0307692307692308,19559.4
"Fentimans Ginger Beer 0,5% 275 ml","Alkoholfritt",22.5,275,281965.018181818,0.5,0.0611111111111111,77540.38
"BEO Blood Orange Hibiscus 0% 330","Alkoholfritt",12.9,330,43,0,0,14.19
"Xide Non Alco Lemon Dragon 0,5% 275","Alkoholfritt",12.9,275,174840,0.5,0.106589147286822,48081
"Kiviks Muste Fläderbl Mous 0,5% 750","Alkoholfritt",37,750,56411,0.5,0.101351351351351,42308.25
